"","cluster_averages"
"A",0.614813518736962
"B",0.404275003905751
"C",0.559979660095159
"D",-0.202416090707868
"E",0.781870607035137
"F",0.675969986904354
"G",0.816122347811797
"H",0.0267966617058052
"I",0.154801006653357
"J",0.335995239109291
"K",-0.341793673409092
"L",0.569374014961189
"M",-0.692153300700091
"N",0.377297193420639
"O",0.572826577467069
"P",0.0506549473869731
"Q",0.302729183658125
"R",0.454443977574189
"S",0.546283375517818
"T",0.132332058113456
"U",0.359292928444089
