"","cluster_averages"
"A",0.658447206370107
"B",-0.191316020016687
"C",0.786288539906577
"D",0.571032180410076
"E",0.800524595710421
"F",0.749030771323501
"G",0.796277168695998
"H",0.647351098961424
"I",0.639014510398534
"J",0.358714996030583
"K",0.474729204185288
"L",0.868830946558338
"M",0.573739369233946
"N",0.429798987385696
"O",-0.571524022020777
"P",0.586871829714339
"Q",0.454409107316877
"R",0.512332522898447
"S",0.759824478681946
"T",0.615964588376212
"U",0.221648127427428
