"","rowname","cluster_averages"
"13","M",-0.692153300700091
"11","K",-0.341793673409092
"4","D",-0.202416090707868
"8","H",0.0267966617058052
"16","P",0.0506549473869731
"20","T",0.132332058113456
"9","I",0.154801006653357
"17","Q",0.302729183658125
"10","J",0.335995239109291
"21","U",0.359292928444089
"14","N",0.377297193420639
"2","B",0.404275003905751
"18","R",0.454443977574189
"19","S",0.546283375517818
"3","C",0.559979660095159
"12","L",0.569374014961189
"15","O",0.572826577467069
"1","A",0.614813518736962
"6","F",0.675969986904354
"5","E",0.781870607035137
"7","G",0.816122347811797
